iter	Passed	Remaining
0	17	17529
1	27	13519
2	37	12335
3	46	11579
4	55	11005
5	64	10733
6	73	10441
7	81	10152
8	91	10033
9	100	9907
10	108	9754
11	116	9623
12	125	9543
13	134	9459
14	142	9381
15	151	9324
16	160	9285
17	169	9245
18	177	9190
19	186	9160
20	195	9112
21	204	9073
22	212	9010
23	220	8978
24	229	8937
25	237	8913
26	245	8857
27	254	8821
28	262	8805
29	271	8787
30	280	8765
31	288	8738
32	297	8713
33	305	8682
34	313	8656
35	322	8623
36	330	8594
37	338	8557
38	346	8541
39	355	8539
40	364	8527
41	372	8503
42	381	8483
43	389	8472
44	398	8455
45	406	8436
46	415	8423
47	423	8405
48	431	8380
49	440	8361
50	448	8351
51	457	8345
52	466	8343
53	475	8333
54	483	8315
55	492	8301
56	501	8293
57	510	8284
58	518	8273
59	527	8262
60	535	8246
61	544	8241
62	553	8228
63	561	8217
64	570	8201
65	578	8182
66	586	8173
67	596	8170
68	605	8163
69	614	8158
70	622	8151
71	631	8138
72	640	8129
73	648	8115
74	657	8104
75	666	8101
76	674	8089
77	683	8082
78	692	8072
79	700	8060
80	709	8047
81	718	8039
82	726	8028
83	735	8019
84	744	8012
85	753	8003
86	761	7993
87	770	7983
88	778	7967
89	787	7961
90	796	7952
91	804	7938
92	812	7928
93	821	7921
94	830	7912
95	840	7914
96	849	7911
97	858	7902
98	867	7893
99	875	7883
100	884	7875
101	894	7873
102	903	7870
103	913	7866
104	921	7855
105	930	7847
106	938	7835
107	947	7823
108	955	7813
109	964	7801
110	972	7790
111	981	7781
112	990	7775
113	999	7766
114	1008	7757
115	1017	7751
116	1025	7742
117	1034	7732
118	1043	7726
119	1053	7724
120	1062	7720
121	1073	7723
122	1083	7722
123	1093	7725
124	1103	7721
125	1112	7716
126	1121	7710
127	1130	7702
128	1139	7694
129	1148	7683
130	1156	7675
131	1165	7663
132	1173	7651
133	1182	7641
134	1191	7632
135	1199	7621
136	1208	7610
137	1216	7599
138	1225	7589
139	1234	7583
140	1243	7576
141	1252	7567
142	1260	7557
143	1269	7547
144	1278	7535
145	1286	7525
146	1295	7516
147	1304	7507
148	1312	7495
149	1321	7485
150	1329	7475
151	1338	7466
152	1346	7456
153	1355	7449
154	1364	7438
155	1373	7433
156	1383	7426
157	1391	7414
158	1399	7404
159	1408	7396
160	1417	7387
161	1425	7376
162	1434	7367
163	1443	7356
164	1452	7350
165	1460	7339
166	1469	7330
167	1478	7320
168	1486	7310
169	1494	7299
170	1503	7288
171	1512	7280
172	1520	7270
173	1529	7259
174	1538	7251
175	1547	7243
176	1556	7235
177	1564	7226
178	1573	7215
179	1581	7205
180	1590	7197
181	1599	7189
182	1608	7179
183	1616	7169
184	1625	7159
185	1633	7149
186	1642	7139
187	1650	7129
188	1659	7120
189	1668	7113
190	1677	7105
191	1686	7096
192	1695	7087
193	1703	7078
194	1713	7073
195	1722	7066
196	1731	7058
197	1740	7050
198	1749	7041
199	1758	7033
200	1766	7023
201	1775	7014
202	1783	7003
203	1792	6993
204	1801	6985
205	1810	6977
206	1819	6969
207	1827	6959
208	1836	6949
209	1844	6938
210	1853	6929
211	1862	6922
212	1871	6915
213	1880	6906
214	1888	6896
215	1897	6887
216	1906	6878
217	1914	6868
218	1923	6857
219	1931	6848
220	1940	6839
221	1949	6831
222	1958	6822
223	1966	6812
224	1975	6803
225	1983	6792
226	1992	6784
227	2001	6775
228	2009	6767
229	2018	6757
230	2026	6747
231	2035	6738
232	2044	6729
